Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,IEF,SPY,TLT,UUP,^VIX,IEF,SPY,TLT,UUP,^VIX,IEF,SPY,TLT,UUP,^VIX,IEF,SPY,TLT,UUP,^VIX,IEF,SPY,TLT,UUP,^VIX
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-24,70.80042266845703,79.8801498413086,69.46593475341797,20.16657066345215,27.459999084472656,70.92887844715375,80.53112092453745,69.70444678162985,20.233402650000613,28.770000457763672,70.53637316650922,79.45626384293206,68.76327938063248,20.091384479410095,26.31999969482422,70.62915011174688,80.19806434009098,69.00179632702378,20.225048452507025,27.90999984741211,973400,280677800,9812100,4447000,0
2010-08-25,70.47929382324219,80.19049072265625,69.24030303955078,20.199987411499023,26.700000762939453,71.12157278852904,80.49326310424921,70.48444486227702,20.233402608003775,28.920000076293945,70.41506320438499,78.94153443603975,69.02112440695775,20.149863820041777,26.459999084472656,70.98597905011931,79.44111348567854,70.13634601211052,20.208341608975275,28.299999237060547,690100,272234800,13299800,2598500,0
2010-08-26,70.80042266845703,79.6530990600586,69.89138793945312,20.074678421020508,27.3700008392334,70.80042266845703,80.67497075786093,69.93651223302652,20.133156212240326,27.549999237060547,70.44360166592797,79.38816444117056,69.16295150943137,20.032907432006134,25.860000610351562,70.5149647775025,80.56899922031198,69.33700095087758,20.116447816634576,26.450000762939453,845000,224439500,7039900,3139400,0
2010-08-27,69.98689270019531,80.88687896728516,67.91239166259766,20.10809326171875,24.450000762939453,70.74335171545607,80.97014310732834,69.83340882503876,20.16657105190002,28.110000610351562,69.8655748288154,78.95667321175794,67.81569529313374,20.04126127388297,24.40999984741211,70.49357802595092,80.15264379145707,69.47240937358562,20.116447459373255,26.5,1014100,272649000,13514000,4012200,0
2010-08-30,70.52210998535156,79.71361541748047,69.21456909179688,20.16657066345215,27.209999084472656,70.52924793064109,80.92472807684885,69.23390738488804,20.174924860945737,27.209999084472656,70.15815100078284,79.70605015024395,68.21538132450586,20.091384479410095,25.40999984741211,70.21524367378518,80.67493565772814,68.46678897105582,20.108092874397272,25.8799991607666,463500,167238600,5535300,1738200,0
2010-08-31,70.83612823486328,79.71361541748047,69.98162841796875,20.149864196777344,26.049999237060547,70.89321547448542,80.22077129797157,70.03964817051427,20.174925196274405,27.829999923706055,70.65771767998126,79.0929227783101,69.37567439136224,20.09138481335023,25.93000030517578,70.80758189272319,79.41840829488805,69.76245470834435,20.116447406247566,27.579999923706055,1276700,273933100,8397000,1783400,0
2010-09-01,70.32600402832031,82.0979995727539,68.53466033935547,19.99113655090332,23.889999389648438,70.60501824801487,82.21154212587459,69.21354338187913,20.007844945267514,25.1299991607666,70.05414010065205,80.73550626034805,67.94629437812684,19.94936556499284,23.860000610351562,70.56924495493067,80.78849201513582,69.19414263633509,19.96607395935703,25.1299991607666,1268700,256828100,12480700,3436700,0
2010-09-02,70.03268432617188,82.86253356933594,67.810546875,19.97442626953125,23.190000534057617,70.1757665943277,82.87766988512006,68.08210316430156,20.024549854488406,24.309999465942383,69.98976073737286,82.12072704557193,67.50020387695967,19.966072073138385,23.149999618530273,70.16146055080758,82.29482643967485,68.0174438512979,19.982780465924115,24.229999542236328,1273500,156112200,8167600,1842500,0
2010-09-03,69.63206481933594,83.9373779296875,66.97000122070312,19.874181747436523,21.309999465942383,69.75368531965933,84.01307104683868,67.20276083538262,19.957720535694904,22.780000686645508,69.4532092159522,83.22584992343421,66.40103108134839,19.874181747436523,21.239999771118164,69.48182676748237,83.67244913215106,66.41396491150331,19.957720535694904,21.989999771118164,1308300,212197300,9210700,2943600,0
