NameMix,FullName,Gender,Birth Year,Start Year,End Year,Race,Degree,Major,PreFed_clean,SaltFresh
Carl E. Allen,Carl E. Allen,1.0,,1956.0,1961.0,W,Bachelor's,,Banking/Finance/Fed,
Wayne D. Angell,Wayne D. Angell,1.0,1930.0,1986.0,1994.0,W,PhD,Economics,Government/Public Service,3.0
C. Canby Balderston,C. Canby Balderston,1.0,1897.0,1954.0,1966.0,W,PhD,Law,Academic Economist,
John J. Balles,John J. Balles,1.0,1921.0,1972.0,1986.0,W,Master's,Economics,Professional Economist,
Thomas I. Barkin,Thomas I. Barkin,1.0,1961.0,2018.0,9999.0,W,JD,Law,Business/Industry,
Michael S. Barr,Michael S. Barr,1.0,1965.0,2022.0,9999.0,W,JD,Law,,
Barr,,1.0,,-9999.0,9999.0,,None/unknown,,,
Ernest T. Baughman,Ernest T. Baughman,1.0,1915.0,1974.0,1980.0,W,Master's,Economics,Professional Economist,
Ben S. Bernanke,Ben S. Bernanke,1.0,1953.0,2002.0,2014.0,W,PhD,Economics,Academic Economist,3.0
Susan S. Bies,Susan S. Bies,0.0,1947.0,2001.0,2007.0,W,PhD,Economics,Professional Economist,1.0
Robert P. Black,Robert P. Black,1.0,1927.0,1973.0,1992.0,W,PhD,Economics,Academic Economist,2.0
Alan S. Blinder,Alan S. Blinder,1.0,1945.0,1994.0,1996.0,W,PhD,Economics,Academic Economist,3.0
Boehne,,1.0,1926.0,-9999.0,9999.0,,PhD,Economics,Banking/Finance/Fed,3.0
Edward G. Boehne,Edward G. Boehne,1.0,1941.0,1981.0,2000.0,W,PhD,Economics,Professional Economist,3.0
Karl R. Bopp,Karl R. Bopp,1.0,1906.0,1958.0,1970.0,W,PhD,Economics,Academic Economist,3.0
Raphael Bostic,Raphael Bostic,1.0,1966.0,2017.0,2026.0,NW,PhD,Economics,Academic Economist,1.0
Michelle W. Bowman,Michelle W. Bowman,0.0,1971.0,2018.0,9999.0,W,JD,Law,Banking/Finance/Fed,
Robert H. Boykin,Robert H. Boykin,1.0,1926.0,1981.0,1991.0,W,JD,Law,Military,
Lael Brainard,Lael Brainard,0.0,1962.0,2014.0,2023.0,W,PhD,Economics,Professional Economist,1.0
Andrew F. Brimmer,Andrew F. Brimmer,1.0,1926.0,1966.0,1974.0,NW,PhD,Economics,Academic Economist,1.0
Broaddus,,1.0,1939.0,-9999.0,9999.0,,PhD,,Banking/Finance/Fed,
Joseph A. Broderick,Joseph A. Broderick,1.0,1881.0,1936.0,1937.0,W,None/unknown,,Banking/Finance/Fed,
Malcolm H. Bryan,Malcolm H. Bryan,1.0,1902.0,1951.0,1965.0,W,Master's,Economics,Other,
Jeffrey M. Bucher,Jeffrey M. Bucher,1.0,1933.0,1972.0,1976.0,W,JD,Law,Banking/Finance/Fed,
James Bullard,James Bullard,1.0,1961.0,2008.0,2023.0,W,PhD,Economics,Professional Economist,3.0
Arthur F. Burns,Arthur F. Burns,1.0,1904.0,1970.0,1978.0,W,PhD,Economics,Academic Economist,1.0
Richard H. Clarida,Richard H. Clarida,1.0,1957.0,2018.0,9999.0,W,PhD,Economics,Academic Economist,1.0
George H. Clay,George H. Clay,1.0,1911.0,1961.0,1976.0,W,JD,Law,Law/Legal,
Lawrence Clayton,Lawrence Clayton,1.0,1891.0,1947.0,1949.0,W,Bachelor's,Law,Banking/Finance/Fed,
Philip E. Coldwell,Philip E. Coldwell,1.0,1922.0,1968.0,1974.0,W,PhD,Economics,Academic Economist,1.0
Philip E. Coldwell,Philip E. Coldwell,1.0,1922.0,1974.0,1980.0,W,PhD,Economics,Academic Economist,1.0
Susan M. Collins,Susan M. Collins,0.0,1959.0,2022.0,9999.0,NW,PhD,Economics,,1.0
Collins,,0.0,,-9999.0,9999.0,,PhD,,,
Lisa D. Cook,Lisa D. Cook,0.0,1964.0,2022.0,9999.0,NW,PhD,Economics,,1.0
Cook,,0.0,,-9999.0,9999.0,,PhD,,,
E. Gerald Corrigan,E. Gerald Corrigan,1.0,1941.0,1980.0,1984.0,W,PhD,Economics,Professional Economist,3.0
E. Gerald Corrigan,E. Gerald Corrigan,1.0,1941.0,1985.0,1993.0,W,PhD,Economics,Professional Economist,3.0
Cumming,,0.0,1953.0,-9999.0,9999.0,,PhD,Economics,Banking/Finance/Fed,3.0
J. Dewey Daane,J. Dewey Daane,1.0,1918.0,1963.0,1974.0,W,PhD,Political Science/Public Policy,Professional Economist,
Mary C. Daly,Mary C. Daly,0.0,1962.0,2018.0,9999.0,W,PhD,Economics,Professional Economist,3.0
Chester C. Davis,Chester C. Davis,1.0,1887.0,1941.0,1951.0,W,Bachelor's,,Business/Industry,
William A. Day,William A. Day,1.0,1876.0,1936.0,1945.0,W,None/unknown,,Banking/Finance/Fed,
Frederick L. Deming,Frederick L. Deming,1.0,1912.0,1957.0,1965.0,W,PhD,Economics,Professional Economist,3.0
Ernest G. Draper,Ernest G. Draper,1.0,1885.0,1938.0,1950.0,W,Bachelor's,,Government/Public Service,
William C. Dudley,William C. Dudley,1.0,1953.0,2009.0,2018.0,W,PhD,Economics,Banking/Finance/Fed,1.0
Elizabeth A. Duke,Elizabeth A. Duke,0.0,1952.0,2008.0,2013.0,W,Master's,Business,Banking/Finance/Fed,
C. E. Earhart,C. E. Earhart,1.0,1890.0,1946.0,1956.0,W,None/unknown,,Banking/Finance/Fed,
David P. Eastburn,David P. Eastburn,1.0,1921.0,1970.0,1981.0,W,PhD,Economics,Professional Economist,1.0
Marriner S. Eccles,Marriner S. Eccles,1.0,1890.0,1934.0,1951.0,W,None/unknown,,Banking/Finance/Fed,
George H. Ellis,George H. Ellis,1.0,1920.0,1961.0,1968.0,W,PhD,Economics,Academic Economist,1.0
Joseph A. Erickson,Joseph A. Erickson,1.0,1896.0,1948.0,1961.0,W,Master's,Business,Banking/Finance/Fed,
Rudolph M. Evans,Rudolph M. Evans,1.0,1890.0,1942.0,1954.0,W,Bachelor's,Engineering/STEM,Other,
Charles L. Evans,Charles L. Evans,1.0,1958.0,2007.0,2023.0,W,PhD,Economics,Professional Economist,2.0
Ferguson,,1.0,1951.0,-9999.0,9999.0,,PhD,Economics,Business/Industry,1.0
Stanley Fischer,Stanley Fischer,1.0,1943.0,2014.0,2017.0,W,PhD,Economics,Banking/Finance/Fed,1.0
Richard W. Fisher,Richard W. Fisher,1.0,1949.0,2005.0,2015.0,W,Master's,Business,Business/Industry,
Ralph E. Flanders,Ralph E. Flanders,1.0,1880.0,1944.0,1946.0,W,None/unknown,,Business/Industry,
Matthew J. Fleming,Matthew J. Fleming,1.0,1879.0,1935.0,1944.0,W,None/unknown,,Banking/Finance/Fed,
Ford,,1.0,1939.0,-9999.0,9999.0,,PhD,Economics,Academic Economist,1.0
William F. Ford,William F. Ford,1.0,,1980.0,1983.0,W,PhD,Economics,Professional Economist,1.0
Robert P. Forrestal,Robert P. Forrestal,1.0,1931.0,1983.0,1996.0,W,JD,Law,Law/Legal,
Darryl R. Francis,Darryl R. Francis,1.0,1912.0,1966.0,1976.0,W,Bachelor's,Agriculture/Other,Banking/Finance/Fed,
Wilbur D. Fulton,Wilbur D. Fulton,1.0,1898.0,1953.0,1963.0,W,None/unknown,,Banking/Finance/Fed,
Stephen S. Gardner,Stephen S. Gardner,1.0,1921.0,1976.0,1978.0,W,Master's,Business,Banking/Finance/Fed,
William B. Geery,William B. Geery,1.0,1867.0,1927.0,1936.0,W,None/unknown,,Banking/Finance/Fed,
Timothy F. Geithner,Timothy F. Geithner,1.0,1961.0,2003.0,2009.0,W,Master's,Economics,Other,
Esther L. George,Esther L. George,0.0,1958.0,2011.0,9999.0,W,Master's,Business,Banking/Finance/Fed,
Ray M. Gidney,Ray M. Gidney,1.0,1887.0,1944.0,1953.0,W,Bachelor's,,Banking/Finance/Fed,
Robert R. Gilbert,Robert R. Gilbert,1.0,1888.0,1939.0,1953.0,W,None/unknown,,Banking/Finance/Fed,
Austan D. Goolsbee,Austan D. Goolsbee,1.0,1969.0,2023.0,9999.0,W,PhD,Economics,,1.0
Goolsbee,,1.0,,-9999.0,9999.0,,PhD,,,
