equity,group,abstract,info,read,disunity,strain,strainUpper
SPX_index,speaker_pct,6.02\%,5.70\%,7.82\%,17.88\%,19.17\%,11.21\%
SPX_index,financial_pct,0.61\%,0.16\%,0.27\%,0.21\%,0.17\%,0.29\%
SPX_index,macro_pct,0.68\%,0.28\%,0.69\%,0.43\%,0.44\%,0.36\%
SPX_index,topic_pct,2.89\%,1.77\%,0.41\%,9.83\%,0.83\%,3.16\%
ES_futures,speaker_pct,7.83\%,9.88\%,20.52\%,17.25\%,27.54\%,16.66\%
ES_futures,financial_pct,0.44\%,0.77\%,0.1\%,0.32\%,0.39\%,0.79\%
ES_futures,macro_pct,0.95\%,0.20\%,0.38\%,0.59\%,0.80\%,0.28\%
ES_futures,topic_pct,3.42\%,2.16\%,36.11\%,22.86\%,2.18\%,6.00\%
SHY,speaker_pct,7.95\%,10.53\%,19.33\%,14.91\%,24.35\%,16.16\%
SHY,financial_pct,0.61\%,0.86\%,0.32\%,0.12\%,0.48\%,0.97\%
SHY,macro_pct,0.65\%,0.21\%,0.29\%,0.48\%,0.81\%,0.44\%
SHY,topic_pct,3.82\%,2.26\%,37.55\%,24.65\%,2.30\%,6.15\%
IEF,speaker_pct,8.11\%,10.18\%,19.44\%,14.83\%,24.05\%,16.13\%
IEF,financial_pct,1.1\%,0.84\%,0.32\%,0.51\%,0.39\%,0.8\%
IEF,macro_pct,0.61\%,0.21\%,0.34\%,0.69\%,0.83\%,0.42\%
IEF,topic_pct,3.78\%,2.24\%,37.59\%,24.55\%,2.32\%,6.13\%
TLT,speaker_pct,7.87\%,10.39\%,19.32\%,14.88\%,23.98\%,16.38\%
TLT,financial_pct,1.0\%,0.64\%,0.22\%,0.28\%,0.26\%,0.87\%
TLT,macro_pct,0.74\%,0.13\%,0.27\%,0.57\%,0.82\%,0.32\%
TLT,topic_pct,3.80\%,2.26\%,37.88\%,24.64\%,2.40\%,6.13\%
UUP,speaker_pct,5.58\%,8.49\%,16.84\%,10.95\%,21.41\%,12.88\%
UUP,financial_pct,0.87\%,0.6\%,0.26\%,0.66\%,0.56\%,1.2\%
UUP,macro_pct,1.02\%,0.44\%,0.73\%,0.61\%,0.77\%,0.13\%
UUP,topic_pct,5.05\%,2.57\%,44.21\%,29.19\%,3.91\%,8.23\%
VXX,speaker_pct,19.40\%,16.81\%,17.41\%,13.40\%,26.96\%,11.31\%
VXX,financial_pct,4.5\%,9.0\%,0.87\%,1.8\%,2.6\%,7.3\%
VXX,macro_pct,8.79\%,3.60\%,0.12\%,3.02\%,2.16\%,1.94\%
VXX,topic_pct,3.28\%,3.80\%,52.72\%,30.10\%,9.82\%,11.42\%
VIX,speaker_pct,6.17\%,6.24\%,9.79\%,20.09\%,22.05\%,12.53\%
VIX,financial_pct,0.28\%,1.1\%,0.46\%,0.2\%,0.31\%,0.93\%
VIX,macro_pct,0.52\%,0.33\%,1.14\%,0.44\%,0.64\%,0.42\%
VIX,topic_pct,3.22\%,2.12\%,0.83\%,11.52\%,1.19\%,3.92\%
GLD,speaker_pct,7.52\%,9.90\%,18.32\%,11.75\%,20.46\%,15.20\%
GLD,financial_pct,0.37\%,0.35\%,0.27\%,0.56\%,0.48\%,0.13\%
GLD,macro_pct,1.51\%,0.28\%,0.50\%,0.40\%,0.56\%,0.31\%
GLD,topic_pct,4.58\%,2.73\%,39.67\%,26.97\%,3.59\%,7.32\%
