,abstract,info,read,disunity,strain,strainUpper
ret_SPX_index,0,0,0,0,0,0
ret_ES_futures,0,0,0,0,0,0
ret_SHY,0,**,0,0,0,0
ret_IEF,0,0,0,0,0,0
ret_TLT,0,0,0,0,0,0
ret_UUP,0,0,0,0,*,0
ret_VXX,0,0,0,0,0,*
ret_VIX,0,0,0,0,*,0
ret_GLD,0,0,0,0,0,0
abs_ret_SPX_index,0,0,***,**,***,***
abs_ret_ES_futures,0,0,0,***,0,**
abs_ret_SHY,0,0,0,0,**,0
abs_ret_IEF,*,0,0,0,0,0
abs_ret_TLT,***,0,**,0,0,0
abs_ret_UUP,0,0,0,0,0,0
abs_ret_VXX,*,**,0,0,0,0
abs_ret_VIX,0,0,0,0,0,0
abs_ret_GLD,0,0,***,*,*,0
hl_range_SPX_index,***,0,***,***,***,***
hl_range_ES_futures,0,0,0,*,0,0
hl_range_SHY,0,0,0,0,*,0
hl_range_IEF,**,0,**,0,*,0
hl_range_TLT,**,0,**,0,0,0
hl_range_UUP,*,0,0,0,0,0
hl_range_VXX,0,0,0,0,0,0
hl_range_VIX,0,*,**,0,0,***
hl_range_GLD,**,0,0,***,0,0
volume_SPX_index,**,***,***,***,***,0
volume_ES_futures,0,0,0,*,0,***
volume_SHY,**,***,0,0,0,0
volume_IEF,***,***,**,***,0,**
volume_TLT,***,***,0,***,0,***
volume_UUP,**,0,0,0,***,0
volume_VXX,0,0,*,0,0,0
volume_VIX,***,***,***,***,***,***
volume_GLD,0,0,0,0,0,0
abn_ret_5_SPX_index,0,0,0,0,0,0
abn_ret_5_ES_futures,0,0,0,0,0,0
abn_ret_5_SHY,0,**,0,0,0,0
abn_ret_5_IEF,0,0,0,0,0,0
abn_ret_5_TLT,0,0,0,0,0,0
abn_ret_5_UUP,0,0,0,0,0,0
abn_ret_5_VXX,**,0,0,0,0,0
abn_ret_5_VIX,0,0,0,0,0,0
abn_ret_5_GLD,0,0,0,0,0,0
abn_ret_22_SPX_index,0,0,0,0,0,0
abn_ret_22_ES_futures,0,0,0,0,0,0
abn_ret_22_SHY,0,*,0,0,0,0
abn_ret_22_IEF,0,0,0,0,0,0
abn_ret_22_TLT,0,0,0,0,0,*
abn_ret_22_UUP,0,0,*,0,*,0
abn_ret_22_VXX,0,0,0,0,0,0
abn_ret_22_VIX,0,0,0,0,0,0
abn_ret_22_GLD,0,0,0,0,0,0
