equity,group,abstract,info,read,disunity,strain,strainUpper
SPX_index,speaker_pct,4.19\%,5.97\%,20.12\%,18.64\%,24.27\%,13.95\%
SPX_index,financial_pct,0.72\%,0.14\%,0.14\%,0.22\%,0.21\%,0.35\%
SPX_index,macro_pct,0.56\%,0.55\%,0.29\%,0.26\%,0.21\%,0.53\%
SPX_index,topic_pct,5.34\%,1.84\%,36.81\%,22.48\%,3.64\%,7.11\%
ES_futures,speaker_pct,6.83\%,11.16\%,20.23\%,15.46\%,28.99\%,18.11\%
ES_futures,financial_pct,0.51\%,0.9\%,0.13\%,0.32\%,0.29\%,0.72\%
ES_futures,macro_pct,0.96\%,1.04\%,0.49\%,0.28\%,0.71\%,1.00\%
ES_futures,topic_pct,4.72\%,2.06\%,39.56\%,25.07\%,2.67\%,6.44\%
SHY,speaker_pct,6.39\%,12.13\%,18.88\%,12.76\%,25.86\%,17.87\%
SHY,financial_pct,1.1\%,0.82\%,0.4\%,0.47\%,0.6\%,0.82\%
SHY,macro_pct,1.09\%,0.68\%,0.62\%,0.41\%,0.88\%,1.10\%
SHY,topic_pct,4.80\%,2.15\%,40.86\%,27.33\%,3.11\%,6.71\%
IEF,speaker_pct,6.91\%,11.81\%,19.27\%,12.51\%,25.70\%,18.14\%
IEF,financial_pct,1.5\%,0.57\%,0.44\%,0.82\%,0.39\%,0.6\%
IEF,macro_pct,0.81\%,0.58\%,0.64\%,0.47\%,0.85\%,0.82\%
IEF,topic_pct,4.60\%,2.17\%,40.61\%,27.12\%,3.07\%,6.59\%
TLT,speaker_pct,6.60\%,12.05\%,18.87\%,12.29\%,25.53\%,18.29\%
TLT,financial_pct,1.3\%,0.65\%,0.22\%,0.41\%,0.14\%,0.78\%
TLT,macro_pct,1.09\%,0.59\%,0.56\%,0.36\%,0.69\%,0.80\%
TLT,topic_pct,4.75\%,2.18\%,41.06\%,27.37\%,3.11\%,6.47\%
UUP,speaker_pct,4.81\%,8.59\%,14.64\%,7.86\%,19.67\%,13.44\%
UUP,financial_pct,0.86\%,0.73\%,0.29\%,0.41\%,0.48\%,0.8\%
UUP,macro_pct,0.82\%,0.73\%,0.49\%,0.35\%,0.93\%,0.79\%
UUP,topic_pct,5.77\%,2.43\%,49.35\%,34.15\%,6.30\%,8.37\%
VXX,speaker_pct,19.16\%,16.52\%,9.31\%,6.96\%,13.29\%,2.95\%
VXX,financial_pct,3.4\%,3.2\%,0.82\%,0.72\%,1.9\%,2.3\%
VXX,macro_pct,3.08\%,1.38\%,1.81\%,0.54\%,3.22\%,2.04\%
VXX,topic_pct,4.03\%,3.28\%,59.92\%,35.86\%,10.33\%,11.26\%
VIX,speaker_pct,5.26\%,7.16\%,22.03\%,21.05\%,27.65\%,16.31\%
VIX,financial_pct,1.1\%,0.77\%,0.19\%,0.18\%,0.22\%,0.57\%
VIX,macro_pct,0.85\%,0.70\%,0.42\%,0.38\%,0.52\%,1.03\%
VIX,topic_pct,5.48\%,2.14\%,36.19\%,21.44\%,2.87\%,7.71\%
GLD,speaker_pct,6.31\%,10.49\%,17.00\%,9.65\%,21.11\%,16.68\%
GLD,financial_pct,0.65\%,0.22\%,0.44\%,0.71\%,0.54\%,0.11\%
GLD,macro_pct,1.07\%,0.72\%,0.67\%,0.36\%,0.85\%,1.18\%
GLD,topic_pct,5.44\%,2.49\%,43.67\%,30.52\%,5.08\%,7.31\%
